lang,name,lnum,lon,precision,rank,feature,languages,link,time,lat,seen,type,id
ru,Гагаринский тоннель,1,37.5839,0.0001,,ru,ru,http://stats.grok.se/ru/201506/Гагаринский тоннель,201506,55.7086,94,other,Q16635363
ru,Глинки,1,38.220899,0.000010,,ru,ru,http://stats.grok.se/ru/201506/Глинки,201506,55.879758,22,other,Q16637036
ru,Горки Сухаревские,3,37.48194444,0.1,,ru,ru|eo|ce,http://stats.grok.se/ru/201506/Горки Сухаревские,201506,56.1,20,other,Q16638326
ru,Городская клиническая больница № 4,1,37.628548,0.000010,,ru,ru,http://stats.grok.se/ru/201506/Городская клиническая больница № 4,201506,55.714668,64,other,Q16638551
ru,Дмитровка,2,37.30972222,0.000010,,ru,ru|eo,http://stats.grok.se/ru/201506/Дмитровка,201506,56.13611111,106,other,Q16644813
ru,Зараменье,1,37.40972222,0.000010,,ru,ru,http://stats.grok.se/ru/201506/Зараменье,201506,56.14027778,8,other,Q16653289
ru,Зюзино,2,37.58105556,0.000010,,ru,ru|en,http://stats.grok.se/ru/201506/Зюзино,201506,55.65791667,32,other,Q16654643
ru,Каменка,2,37.30138889,0.000010,,ru,ru|eo,http://stats.grok.se/ru/201506/Каменка,201506,56.18055556,396,other,Q16657640
ru,Катастрофа Ту-104 в Домодедове,1,37.87805556,0.000010,,ru,ru,http://stats.grok.se/ru/201506/Катастрофа Ту-104 в Домодедове,201506,55.41972222,85,other,Q16662530
ru,Костино,74,37.18055556,0.0001,,ru,eo|en|co|io|af|sw|ca|sk|it|an|eu|cy|gd|pt-br|ga|zu|cs|et|gl|ie|id|es|en-gb|ru|lb|wa|nn|min|nb|pms|lij|li|wo|nap|frp|vo|nds-nl|vi|rm|ro|ia|is|pcd|vec|fr|nrm|ast|hr|de|da|sc|br|fi|vls|hu|kg|en-ca|scn|mg|bar|pt|gsw|fur|oc|sv|de-ch|sco|sr-el|pl|ms|sl|de-at|nds|nl,http://stats.grok.se/ru/201506/Костино,201506,56.2375,62,other,Q16666340
ru,Лыткаринский историко-краеведческий музей,1,37.90060278,0.000010,,ru,ru,http://stats.grok.se/ru/201506/Лыткаринский историко-краеведческий музей,201506,55.58061111,27,other,Q16672666
ru,Мамонтово,1,38.55555556,0.000010,,ru,ru,http://stats.grok.se/ru/201506/Мамонтово,201506,55.94833333,44,other,Q16674059
ru,Мелихово,1,37.63055556,0.000010,,ru,ru,http://stats.grok.se/ru/201506/Мелихово,201506,56.19166667,14,other,Q16675675
ru,Морозово,1,37.59027778,0.000010,,ru,ru,http://stats.grok.se/ru/201506/Морозово,201506,56.16805556,38,other,Q16677883
ru,Московский драматический театр «Сфера»,1,37.608601,0.000010,,ru,ru,http://stats.grok.se/ru/201506/Московский драматический театр «Сфера»,201506,55.770514,55,other,Q16678049
ru,Московский драматический театр на Перовской,1,37.65388889,0.000010,,ru,ru,http://stats.grok.se/ru/201506/Московский драматический театр на Перовской,201506,55.74361111,38,other,Q16678051
ru,Московский университет МВД России,1,37.63097222,0.000010,,ru,ru,http://stats.grok.se/ru/201506/Московский университет МВД России,201506,55.77188889,1051,education,Q16678105
ru,Никольское-Богоявленское,1,37.67398333,0.000010,,ru,ru,http://stats.grok.se/ru/201506/Никольское-Богоявленское,201506,55.91897222,8,other,Q16680981
ru,Новонекрасовский,1,37.49722222,0.000010,,ru,ru,http://stats.grok.se/ru/201506/Новонекрасовский,201506,56.07222222,18,other,Q16681429
ru,Осоргино,1,37.22361111,0.000010,,ru,ru,http://stats.grok.se/ru/201506/Осоргино,201506,55.63194444,20,other,Q16683744
ru,Памятник Лазаревым,1,37.634833333333,0.000027777777777778,,ru,ru,http://stats.grok.se/ru/201506/Памятник Лазаревым,201506,55.760638888889,0,other,Q16684470
ru,Покровский парк,1,37.62527778,0.000010,,ru,ru,http://stats.grok.se/ru/201506/Покровский парк,201506,55.60333333,21,topo,Q16686797
ru,Поповка,2,37.29861111,0.01,,ru,ru|eo,http://stats.grok.se/ru/201506/Поповка,201506,56.15,96,other,Q16687204
ru,Ресторан «Арбат»,1,37.585,0.001,,ru,ru,http://stats.grok.se/ru/201506/Ресторан «Арбат»,201506,55.752,75,other,Q16691967
ru,Рождествено-Кутайсово,1,37.03611111,0.000010,,ru,ru,http://stats.grok.se/ru/201506/Рождествено-Кутайсово,201506,55.84722222,61,other,Q16692373
ru,Рождествено,2,37.27083333,0.000010,,ru,ru|eo,http://stats.grok.se/ru/201506/Рождествено,201506,56.13333333,77,other,Q16692375
ru,СДЮСШОР № 54 «Ориента»,1,37.8267,0.0001,,ru,ru,http://stats.grok.se/ru/201506/СДЮСШОР № 54 «Ориента»,201506,55.75500556,16,other,Q16693498
ru,Саяны,1,37.83259444,0.000010,,ru,ru,http://stats.grok.se/ru/201506/Саяны,201506,55.76825,708,other,Q16695093
ru,Севводстрой,1,37.55305556,0.0001,,ru,ru,http://stats.grok.se/ru/201506/Севводстрой,201506,55.9025,1,other,Q16695655
ru,Селевкино,2,37.59861111,0.000010,,ru,ru|ce,http://stats.grok.se/ru/201506/Селевкино,201506,56.18472222,18,other,Q16695969
ru,Сельское поселение Вялковское,1,38.10166667,0.000010,,ru,ru,http://stats.grok.se/ru/201506/Сельское поселение Вялковское,201506,55.65611111,44,other,Q16696546
ru,Сельское поселение Ельдигинское,1,37.80666667,0.000010,,ru,ru,http://stats.grok.se/ru/201506/Сельское поселение Ельдигинское,201506,56.11583333,24,other,Q16696552
